app_id,name,release_date,is_free,price_overview,type
10140,3D Ultra™ Minigolf Adventures,2009-07-23,0,"18,11",game
10150,Prototype™,2009-06-12,0,"27,47",game
10180,Call of Duty®: Modern Warfare® 2 (2009),2009-11-11,0,"82,42",game
10220,Postal III,2012-02-17,0,"20,49",game
10230,Dead Mountaineer's Hotel,2011-10-28,0,"15,99",game
10240,A Stroke of Fate: Operation Valkyrie,2011-10-28,0,"13,99",game
10250,PT Boats: Knights of the Sea,2011-10-28,0,"13,99",game
10260,PT Boats: South Gambit,2011-10-28,0,"13,99",game
10270,Disciples III: Reincarnation,2014-02-14,0,"39,00",game
10460,The Club™,2008-02-20,0,"27,99",game
10500,Total War: EMPIRE – Definitive Edition,2009-03-04,0,"84,99",game
10520,Beijing 2008™ - The Official Video Game of the Olympic Games,2008-08-14,0,\N,game
10620,Empire: Total War™ Demo,2009-02-20,1,\N,demo
10680,Aliens vs. Predator™,2010-02-16,0,"27,99",game
11000,Loki Demo - Norse Warrior,2007-10-05,1,\N,demo
11020,TrackMania Nations Forever,2008-04-16,1,\N,game
11040,Sherlock Holmes - Nemesis,2008-08-07,0,"37,00",game
11050,Dracula: Origin,2008-08-07,0,"5,55",game
11080,Sherlock Holmes - Nemesis Demo,2008-08-07,1,\N,demo
11090,Dracula Origin Demo,2008-08-07,1,\N,demo
11130,Sherlock Holmes: The Mystery of the Mummy,2009-08-06,1,\N,game
11140,Sherlock Holmes: The Awakened (2008),2009-08-06,0,"37,00",game
11150,Sherlock Holmes: The Silver Earring,2009-08-06,0,"37,00",game
11180,Sherlock Holmes: The Mystery of the Persian Carpet,\N,0,"37,00",game
11190,Sherlock Holmes versus Jack the Ripper,2009-12-23,0,"37,00",game
11200,Shadowgrounds Survivor,2007-11-14,0,"19,99",game
11220,Shadowgrounds Survivor Demo,2008-02-15,1,\N,demo
11230,Gumboy Tournament,2008-05-19,0,"5,24",game
11240,Space Trader: Merchant Marine,2008-10-23,0,"16,99",game
11250,Pacific Storm,2008-06-24,0,"26,49",game
